glove	respect
struggle	you are experiencing some internal conflict
apparition	your spirit 
pageant	your own insecurities about your appearances
pet_food	the development of some skill
lock	you are debating on whether to be more open about your feelings or keep them to yourself
crush	your feelings for her or him is waning
cafe	your social life
gum	you need to confront some fear or depression
check	approval and acceptance
wrist	your ability to combine fun and excitement with productivity at the same time
shoebox	you are feeling lost
zookeeper	you are on the verge of losing control over some aspect of your life
golf_tee	your supporting role in a situation
jaw	you are compromising your own beliefs and principles
hexagon	your direction or position in life as represented by each of the six corner and sides
batting	confrontations
savings_bond	your responsibility and commitment to another person or situation
old	your wise decisions
paper	abandoned ideas
ghoul	your habits and negative ways are hindering your growth
falcon	you are focused in your goals and aspirations
ache	some hesitation and reluctance in the pursuit of your goals
wedge	support and your ability to ask for help when you need it
lawn	hope, pleasure, and well-being
kettle	the mundane aspects of your life
beekeeper	you need to find a balance between your professional life and your social life
sugar	you need to lighten up and quit being so serious
confucius	you need to utilize your common sense
poppy	fertility
pyramid	you will find gratification and fulfillment through perseverance
penis	sexual energy, power, aggression, and fertility
wizard	you are trying to hone your skills and exercise your power
picture	a mental imprint that remains persistent in your mind
eclipse	new light and knowledge
politician	you are being deceptive and manipulative
rocking	you are regressing into childlike behavior
river	you are just going with the flow
sandstorm	you are feeling trapped, confined and disoriented in some waking situation
hiding	you are keeping some secret or withholding some information
gauze	uncertainty in wealth
eyelid	you are unable to block out the negativity in your life
india	in India 
quiver	you need to better focus on your goals
news	an important message from your subconscious
play	the roles you play in your life and the various acts and personas you put on
stonehenge	you are undergoing some spiritual enlightenment
bake-house	danger and pitfalls 
sewer	the flow of subconscious material being suppressed deeper and deeper
intravenous_drip	a time for healing
driveway	a rocky end to some journey
end_credit	recognition for your work
foil	you are trying to protect or insulate yourself from the harsh realities
